"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ppx1x2x3p[1,1,1]",0.990312866267465,0.977398,0.937652710575476,357.3,0.95,0.712113,1.28865,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[2,1,1]",1.32249966267465,1.24219,1.18297997693801,188.1,0.95,0.513008,2.19505,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[3,1,1]",1.24111610978044,1.21556,1.19494770411335,193.9,0.95,0.77178,1.83188,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[4,1,1]",1.39554840518962,1.37063,1.34069009416195,313.6,0.95,0.952446,1.92893,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[5,1,1]",1.17768413772455,1.13691,1.10697939532161,219.7,0.95,0.5771,1.83873,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[6,1,1]",1.76993684630739,1.74905,1.67640980224015,327.5,0.95,1.28584,2.24794,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[7,1,1]",1.89674173453094,1.85228,1.81099612670493,270.5,0.95,1.04706,2.77926,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[8,1,1]",2.10176760479042,2.06932,1.96721504569036,302.3,0.95,1.47784,2.7671,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[9,1,1]",2.21116946107784,2.20325,2.26669377054274,303.8,0.95,1.6418,2.86039,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[10,1,1]",2.28738750499002,2.21216,2.05936154014766,280.2,0.95,1.32317,3.38732,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[11,1,1]",3.05845946107784,3.04199,3.00273764351385,278.9,0.95,2.20224,3.75273,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[1,2,1]",1.00262029141717,0.959654,0.876830842372043,220.9,0.95,0.628254,1.46378,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[2,2,1]",1.33278898003992,1.24999,1.0560829142769,182.9,0.95,0.459057,2.2245,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[3,2,1]",1.24992691417166,1.20863,1.13035389022203,245.1,0.95,0.684558,1.87211,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[4,2,1]",1.41165173053892,1.38148,1.36394438080736,254.2,0.95,0.820204,2.10458,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[5,2,1]",1.18838494211577,1.1276,1.09509910003526,142.9,0.95,0.544126,1.92957,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[6,2,1]",1.79290601596806,1.72793,1.57787725133118,158.9,0.95,1.14039,2.5167,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[7,2,1]",1.91433956686627,1.84709,1.69231636569734,288.8,0.95,1.04455,3.0085,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[8,2,1]",2.12717051896208,2.07158,1.84830598635879,239,0.95,1.25903,3.11158,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[9,2,1]",2.24499612774451,2.17632,2.07978800872812,236.5,0.95,1.37026,3.30908,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[10,2,1]",2.31805624550898,2.21067,2.02699359412262,183.8,0.95,1.20504,3.7122,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[11,2,1]",3.09825522954092,3.00299,2.76125924220608,170.8,0.95,1.96567,4.38194,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[1,3,1]",1.00420243912176,0.990532,0.967808670580212,260.7,0.95,0.673605,1.34534,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[2,3,1]",1.32064236127745,1.30185,1.40128479682485,257.9,0.95,0.543076,2.08045,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[3,3,1]",1.25210359081836,1.22759,1.16423378469267,249.6,0.95,0.79377,1.7134,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[4,3,1]",1.41569488223553,1.37862,1.30967481912072,225.8,0.95,0.923958,1.97813,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[5,3,1]",1.18884694211577,1.15664,1.10122365907402,235.2,0.95,0.599766,1.85584,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[6,3,1]",1.79373966067864,1.77995,1.75683659655053,274.2,0.95,1.33244,2.38313,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[7,3,1]",1.91930825948104,1.87109,1.86770161106234,252.6,0.95,1.11129,2.88142,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[8,3,1]",2.12924516966068,2.09571,2.00861945649445,242.4,0.95,1.44091,2.81492,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[9,3,1]",2.24541944111776,2.2223,2.20642208987283,200.1,0.95,1.56636,2.98679,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[10,3,1]",2.32371996007984,2.25401,2.10943373198847,237.1,0.95,1.34967,3.54769,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[11,3,1]",3.10176636726547,3.09895,3.18334531477106,331.8,0.95,2.1246,3.86891,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[1,4,1]",1.245549,1.2154,1.21007257345513,88.1,0.95,0.782928,1.77778,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[2,4,1]",1.65891385628743,1.58027,1.47930334103767,183.5,0.95,0.632394,2.79182,NA,NA,NA,NA,NA,NA,NA
